Server;Apps;PC;DBegin;DEnd;Duration
SRVMV-COMMUN001;Mozilla Firefox;XP21823;24/03/2016 14:30;24/03/2016 14:30;00:00:03
SRVMV-COMMUN001;Portail_AD33;XP21823;24/03/2016 14:30;24/03/2016 14:30;00:00:05
SRVMV-COMMUN001;Mozilla Firefox;XP21823;24/03/2016 14:29;24/03/2016 14:29;00:00:05
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/03/2016 14:28;24/03/2016 15:01;00:32:44
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/03/2016 14:28;24/03/2016 14:28;00:00:29
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/03/2016 14:25;24/03/2016 14:28;00:03:04
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;24/03/2016 14:24;24/03/2016 14:24;00:00:07
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;24/03/2016 14:23;24/03/2016 14:54;00:30:56
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;24/03/2016 14:00;24/03/2016 14:02;00:01:17
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;24/03/2016 13:58;24/03/2016 14:00;00:01:41
SRVMV-SOCIAL001;IODAS-Usager;XP18625;24/03/2016 13:30;24/03/2016 14:24;00:53:49
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;24/03/2016 13:23;24/03/2016 14:24;01:00:57
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;24/03/2016 13:12;24/03/2016 13:46;00:34:24
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;24/03/2016 12:43;24/03/2016 13:12;00:28:16
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;24/03/2016 11:09;24/03/2016 11:31;00:22:15
SRVMV-PDEP001;Geomap;XP19415;24/03/2016 09:48;24/03/2016 10:28;00:39:27
SRVMV-SOCIAL001;IODAS-Usager;XP18625;24/03/2016 08:59;24/03/2016 11:08;02:09:14
SRVMV-PDEP001;Abyla PROD;SE29216;23/03/2016 17:07;23/03/2016 17:26;00:18:47
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;23/03/2016 16:55;23/03/2016 17:00;00:05:47
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;23/03/2016 15:22;23/03/2016 16:19;00:57:04
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/03/2016 15:08;23/03/2016 16:50;01:41:42
SRVMV-COMMUN001;Notepad++;HU24065;23/03/2016 14:56;23/03/2016 14:56;00:00:04
SRVMV-W3NEOT001;Batwindows;HU30424;23/03/2016 14:56;23/03/2016 15:13;00:17:31
SRVMV-COMMUN001;Notepad++;HU24065;23/03/2016 14:47;23/03/2016 14:47;00:00:08
SRVMV-W3NEOT001;Batwindows;HU30424;23/03/2016 14:34;23/03/2016 14:54;00:20:00
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/03/2016 14:16;23/03/2016 15:04;00:47:51
