Server;Apps;PC;DBegin;DEnd;Duration
SRVMV-SOCIAL001;IODAS-Usager;SE29570;01/03/2016 10:09;01/03/2016 12:38;02:29:13
SRVMV-COMMUN001;SID Tableau de Bord;XP21823;01/03/2016 10:02;01/03/2016 10:02;00:00:03
SRVMV-PDEP001;Abyla PROD;SE29216;01/03/2016 09:43;01/03/2016 10:10;00:26:28
SRVMV-SOCIAL001;IODAS-Usager;XP18625;01/03/2016 09:41;01/03/2016 10:26;00:44:54
SRVMV-COMMUN001;Mozilla Firefox;XP28201;01/03/2016 09:24;01/03/2016 10:54;01:29:48
SRVMV-SOCIAL001;IODAS-Usager;SE29570;01/03/2016 09:18;01/03/2016 09:49;00:30:31
SRVMV-SOCIAL001;IODAS-Usager;XP18625;01/03/2016 08:51;01/03/2016 09:31;00:40:22
SRVMV-COMMUN001;GED Alfresco;SE29570;01/03/2016 08:49;01/03/2016 08:49;00:00:20
SRVMV-COMMUN001;GED Alfresco;SE29570;01/03/2016 08:48;01/03/2016 08:49;00:00:20
SRVMV-SOCIAL001;IODAS-Usager;SE29570;01/03/2016 08:47;01/03/2016 09:18;00:30:20
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;01/03/2016 08:43;01/03/2016 10:03;01:19:46
SRVMV-PDEP001;Abyla PROD;SE29216;29/02/2016 17:03;29/02/2016 18:12;01:09:09
SRVMV-SOCIAL001;IODAS-Usager;XP18796;29/02/2016 16:19;29/02/2016 16:32;00:12:45
SRVMV-SOCIAL001;IODAS-Usager;XP18796;29/02/2016 15:58;29/02/2016 16:03;00:05:21
SRVMV-PDEP001;Abyla PROD;SE29216;29/02/2016 15:22;29/02/2016 16:50;01:28:17
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;29/02/2016 15:13;29/02/2016 15:14;00:01:01
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;29/02/2016 14:39;29/02/2016 16:32;01:52:39
SRVMV-SOCIAL001;IODAS-Usager;XP18796;29/02/2016 14:24;29/02/2016 15:07;00:42:45
SRVMV-COMMUN001;Microsoft Excel 2007;HTML5 Client;29/02/2016 14:15;29/02/2016 14:20;00:05:16
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;29/02/2016 14:11;29/02/2016 15:05;00:54:02
SRVMV-COMMUN001;Microsoft Word 2007;HTML5 Client;29/02/2016 14:10;29/02/2016 14:16;00:06:08
SRVMV-SOCIAL001;IODAS-Usager;XP18625;29/02/2016 14:03;29/02/2016 15:05;01:02:04
SRVMV-SOCIAL001;IODAS-Usager;XP18625;29/02/2016 13:54;29/02/2016 13:54;00:00:33
SRVMV-SOCIAL001;IODAS-Usager;XP18625;29/02/2016 13:53;29/02/2016 13:53;00:00:44
SRVMV-PDEP001;Abyla PROD;SE29216;29/02/2016 13:50;29/02/2016 15:11;01:20:44
SRVMV-PDEP001;Abyla PROD;SE29216;29/02/2016 13:50;29/02/2016 15:11;01:20:51
SRVMV-SOCIAL001;IODAS-Usager;XP18625;29/02/2016 13:38;29/02/2016 13:52;00:13:35
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;29/02/2016 13:32;29/02/2016 13:53;00:20:54
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;29/02/2016 12:09;29/02/2016 12:32;00:23:06
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;29/02/2016 12:06;29/02/2016 12:14;00:07:35
SRVMV-COMMUN001;Microsoft Excel 2007;HTML5 Client;29/02/2016 12:01;29/02/2016 12:25;00:23:27
SRVMV-COMMUN001;Microsoft Excel 2007;192.168.101.2;29/02/2016 11:58;29/02/2016 12:01;00:02:37
SRVMV-PDEP001;Geomap;192.168.101.2;29/02/2016 11:43;29/02/2016 12:17;00:34:01
SRVMV-COMMUN001;Microsoft Excel 2007;HTML5 Client;29/02/2016 11:38;29/02/2016 11:56;00:17:22
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;29/02/2016 11:24;29/02/2016 12:32;01:07:46
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;29/02/2016 11:24;29/02/2016 11:24;00:00:25
SRVMV-SOCIAL001;IODAS-Usager;XP18625;29/02/2016 11:21;29/02/2016 12:32;01:10:57
SRVMV-SOCIAL001;IODAS-Usager;XP18796;29/02/2016 11:02;29/02/2016 12:44;01:41:13
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;29/02/2016 10:51;29/02/2016 11:39;00:48:04
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;29/02/2016 10:28;29/02/2016 10:59;00:31:03
SRVMV-SOCIAL001;IODAS-Usager;XP18796;29/02/2016 09:39;29/02/2016 10:07;00:27:46
SRVMV-PDEP001;Abyla PROD;SE29216;29/02/2016 09:23;29/02/2016 09:50;00:27:05
SRVMV-COMMUN001;Mozilla Firefox;HTML5 Client;29/02/2016 09:22;29/02/2016 09:27;00:04:28
SRVMV-COMMUN001;Microsoft Excel 2007;HTML5 Client;29/02/2016 09:21;29/02/2016 09:23;00:01:54
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;29/02/2016 09:07;29/02/2016 10:50;01:43:09
SRVMV-COMMUN001;Microsoft Excel 2007;HTML5 Client;29/02/2016 09:04;29/02/2016 09:11;00:06:45
SRVMV-SOCIAL001;IODAS-Usager;XP18796;29/02/2016 08:39;29/02/2016 09:06;00:27:34
SRVMV-SOCIAL001;IODAS-Usager;XP18625;29/02/2016 08:30;29/02/2016 11:21;02:50:32
SRVMV-COMMUN001;SCRIBE Patrimoine;SE29216;26/02/2016 16:23;26/02/2016 16:23;00:00:09
SRVMV-PDEP001;Abyla PROD;SE29216;26/02/2016 16:00;26/02/2016 16:19;00:19:22
SRVMV-COMMUN001;Internet Explorer;SE29216;26/02/2016 14:40;26/02/2016 14:40;00:00:20
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;26/02/2016 14:37;26/02/2016 15:27;00:50:01
SRVMV-COMMUN001;Picasa;SE29216;26/02/2016 14:25;26/02/2016 14:26;00:01:23
SRVMV-PDEP001;InSitu;SE29216;26/02/2016 14:24;26/02/2016 14:25;00:00:19
SRVMV-PDEP001;BALparc 2008;SE29216;26/02/2016 14:23;26/02/2016 14:23;00:00:07
SRVMV-COMMUN001;SIG Portuaire;SE29216;26/02/2016 14:23;26/02/2016 14:23;00:00:20
SRVMV-PDEP001;Pégase;SE29216;26/02/2016 14:22;26/02/2016 14:55;00:33:07
SRVMV-W3NEOT001;Voute;SE29216;26/02/2016 14:20;26/02/2016 14:21;00:01:05
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;26/02/2016 14:20;26/02/2016 15:27;01:07:37
SRVMV-PDEP001;ArcMap 10.2.1;SE29216;26/02/2016 14:18;26/02/2016 14:19;00:00:23
SRVMV-COMMUN001;GED Alfresco;SE29216;26/02/2016 14:17;26/02/2016 14:17;00:00:20
SRVMV-COMMUN001;Viabilité Hivernale;SE29216;26/02/2016 14:16;26/02/2016 14:17;00:00:20
SRVMV-COMMUN001;SCRIBE Patrimoine;SE29216;26/02/2016 14:16;26/02/2016 14:16;00:00:09
SRVMV-PDEP001;Abyla PROD;SE29216;26/02/2016 14:15;26/02/2016 14:55;00:40:07
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 13:23;26/02/2016 15:06;01:43:42
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;26/02/2016 10:28;26/02/2016 10:28;00:00:03
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;26/02/2016 10:21;26/02/2016 10:35;00:13:36
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 10:21;26/02/2016 12:16;01:55:44
SRVMV-SOCIAL001;EpiData;XP18796;26/02/2016 10:20;26/02/2016 10:20;00:00:28
SRVMV-SOCIAL001;Epi Info;XP18796;26/02/2016 10:18;26/02/2016 10:20;00:01:13
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 10:18;26/02/2016 10:20;00:02:01
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 10:17;26/02/2016 10:20;00:03:34
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 09:54;26/02/2016 10:20;00:25:58
SRVMV-SOCIAL001;IODAS-Usager;XP18796;26/02/2016 09:38;26/02/2016 10:34;00:54:29
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;26/02/2016 09:28;26/02/2016 09:54;00:25:08
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 09:14;26/02/2016 09:54;00:39:54
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 09:07;26/02/2016 09:14;00:06:50
SRVMV-SOCIAL001;IODAS-Usager;XP18796;26/02/2016 08:48;26/02/2016 09:24;00:35:56
SRVMV-SOCIAL001;IODAS-Usager;XP18625;26/02/2016 08:46;26/02/2016 09:05;00:18:52
SRVMV-COMMUN001;GED Alfresco;XP21823;26/02/2016 08:23;26/02/2016 08:23;00:00:20
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 17:31;25/02/2016 17:49;00:18:05
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 17:28;25/02/2016 17:49;00:20:42
SRVMV-COMMUN001;Notepad++;HTML5 Client;25/02/2016 16:17;25/02/2016 16:18;00:00:09
SRVMV-COMMUN001;Freemind;HTML5 Client;25/02/2016 16:16;25/02/2016 16:17;00:00:40
SRVMV-COMMUN002;Mozilla Firefox;172.18.93.166;25/02/2016 16:09;25/02/2016 16:15;00:05:38
SRVMV-COMMUN001;Freemind;HTML5 Client;25/02/2016 16:08;25/02/2016 16:08;00:00:27
SRVMV-RCE001;Mar_S;HU31042;25/02/2016 15:34;25/02/2016 15:35;00:01:32
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;25/02/2016 15:20;25/02/2016 16:31;01:10:53
SRVMV-SOCIAL001;IODAS-Usager;XP18796;25/02/2016 15:19;25/02/2016 16:31;01:11:58
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;25/02/2016 15:13;25/02/2016 16:00;00:47:28
SRVMV-COMMUN001;Microsoft Access 2013;HU31042;25/02/2016 14:47;25/02/2016 15:05;00:18:03
SRVMV-PDEP001;Abyla PROD;HU29236;25/02/2016 14:41;25/02/2016 14:56;00:14:26
SRVMV-COMMUN001;Freemind;HTML5 Client;25/02/2016 14:33;25/02/2016 14:44;00:11:40
SRVMV-COMMUN001;Microsoft Excel 2007;SE29570;25/02/2016 14:31;25/02/2016 14:32;00:00:33
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 14:30;25/02/2016 17:22;02:51:50
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 14:11;25/02/2016 14:30;00:19:10
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;25/02/2016 14:01;25/02/2016 15:12;01:11:00
SRVMV-SOCIAL001;IODAS-Usager;XP18796;25/02/2016 14:00;25/02/2016 15:12;01:11:28
SRVMV-PDEP001;Abyla PROD;HU29236;25/02/2016 13:57;25/02/2016 14:15;00:17:43
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;25/02/2016 13:49;25/02/2016 13:59;00:09:21
SRVMV-SOCIAL001;IODAS-Usager;XP18796;25/02/2016 13:42;25/02/2016 13:59;00:16:25
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;25/02/2016 13:19;25/02/2016 14:09;00:49:48
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 11:45;25/02/2016 12:06;00:21:00
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;25/02/2016 11:43;25/02/2016 12:35;00:51:40
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;25/02/2016 11:40;25/02/2016 12:37;00:57:22
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 11:37;25/02/2016 11:37;00:00:17
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 11:36;25/02/2016 11:37;00:00:30
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 11:34;25/02/2016 11:36;00:01:22
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;25/02/2016 11:33;25/02/2016 11:40;00:06:29
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 11:16;25/02/2016 11:30;00:14:12
SRVMV-SOCIAL001;IODAS-Usager;XP18796;25/02/2016 11:05;25/02/2016 12:35;01:30:36
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 10:54;25/02/2016 11:34;00:39:42
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;25/02/2016 10:43;25/02/2016 11:56;01:13:32
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 10:36;25/02/2016 10:36;00:00:22
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 10:35;25/02/2016 10:36;00:00:50
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;25/02/2016 10:19;25/02/2016 10:20;00:00:54
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 10:11;25/02/2016 10:29;00:17:57
SRVMV-SOCIAL001;IODAS-Usager;XP18796;25/02/2016 10:11;25/02/2016 10:54;00:43:44
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;25/02/2016 10:07;25/02/2016 10:09;00:01:41
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 09:49;25/02/2016 10:08;00:18:31
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 09:39;25/02/2016 10:08;00:28:35
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;25/02/2016 09:34;25/02/2016 09:55;00:20:23
SRVMV-SOCIAL001;IODAS-Usager;XP18796;25/02/2016 09:31;25/02/2016 09:55;00:23:24
SRVMV-SOCIAL001;IODAS-Usager;XP18625;25/02/2016 09:11;25/02/2016 09:39;00:27:19
SRVMV-COMMUN001;Microsoft Excel 2007;XP18796;25/02/2016 08:50;25/02/2016 08:55;00:04:11
SRVMV-COMMUN001;Microsoft Excel 2007;XP18796;25/02/2016 08:50;25/02/2016 08:51;00:00:23
SRVMV-SOCIAL001;IODAS-Usager;XP18796;25/02/2016 08:49;25/02/2016 09:07;00:17:45
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;25/02/2016 08:33;25/02/2016 09:08;00:34:56
SRVMV-COMMUN001;Microsoft Excel 2007;SE24382;24/02/2016 16:17;24/02/2016 16:22;00:04:59
SRVMV-SOCIAL001;IODAS-Usager;XP18796;24/02/2016 16:05;24/02/2016 16:30;00:24:30
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;24/02/2016 15:57;24/02/2016 16:30;00:32:37
SRVMV-PDEP001;Abyla PROD;HU29956;24/02/2016 15:29;24/02/2016 15:46;00:17:18
SRVMV-PDEP001;Abyla VA;HU29956;24/02/2016 15:27;24/02/2016 15:29;00:01:26
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/02/2016 15:27;24/02/2016 16:08;00:41:13
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/02/2016 15:21;24/02/2016 15:21;00:00:07
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/02/2016 14:42;24/02/2016 15:27;00:44:22
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/02/2016 14:42;24/02/2016 14:42;00:00:09
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;24/02/2016 14:40;24/02/2016 15:26;00:46:10
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;24/02/2016 14:37;24/02/2016 15:55;01:18:00
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;24/02/2016 14:34;24/02/2016 14:39;00:05:11
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;24/02/2016 14:28;24/02/2016 15:00;00:32:05
SRVMV-COMMUN001;FileZilla;SE18855;24/02/2016 14:14;24/02/2016 14:15;00:00:25
SRVMV-COMMUN001;FileZilla;SE18855;24/02/2016 14:12;24/02/2016 14:13;00:00:38
SRVMV-COMMUN001;FileZilla;SE18855;24/02/2016 14:10;24/02/2016 14:12;00:01:34
SRVMV-W8NEOT001;Business Objects 6.5;SE18855;24/02/2016 14:08;24/02/2016 14:10;00:01:29
SRVMV-LSCE001;Gironde Archive En Ligne;WY26809;24/02/2016 14:01;24/02/2016 14:42;00:41:12
SRVMV-SOCIAL001;IODAS-Usager;XP28201;24/02/2016 13:53;24/02/2016 14:59;01:06:41
SRVMV-SOCIAL001;IODAS-Usager;XP18796;24/02/2016 13:50;24/02/2016 15:26;01:35:45
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;24/02/2016 13:49;24/02/2016 13:50;00:01:02
SRVMV-COMMUN001;Microsoft Excel 2007;SE24382;24/02/2016 13:31;24/02/2016 14:05;00:34:03
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;24/02/2016 12:05;24/02/2016 12:16;00:11:47
SRVMV-SOCIAL001;IODAS-Usager;XP18796;24/02/2016 11:26;24/02/2016 12:05;00:39:03
SRVMV-COMMUN001;Microsoft Access 2013;XP23518;24/02/2016 11:14;24/02/2016 11:33;00:19:09
SRVMV-W3NEOT001;Batwindows;HU30426;24/02/2016 10:50;24/02/2016 10:51;00:00:31
SRVMV-COMMUN001;Abbyy PDF Transformer +;HU30426;24/02/2016 10:47;24/02/2016 10:49;00:01:20
SRVMV-COMMUN001;Abbyy FineReader;HU30426;24/02/2016 10:47;24/02/2016 10:47;00:00:13
SRVMV-COMMUN001;Adobe Reader XI;HU30426;24/02/2016 10:46;24/02/2016 10:47;00:00:57
SRVMV-COMMUN001;IMDSI;XP28201;24/02/2016 10:31;24/02/2016 10:55;00:23:51
SRVMV-COMMUN001;Abbyy PDF Transformer +;HU30426;24/02/2016 10:29;24/02/2016 10:31;00:02:04
SRVMV-COMMUN001;Abbyy PDF Transformer +;HU30426;24/02/2016 10:24;24/02/2016 10:28;00:03:58
SRVMV-SOCIAL001;IODAS-Usager;XP18625;24/02/2016 10:17;24/02/2016 12:32;02:14:22
SRVMV-PDEP001;Abyla PROD;XP18718;24/02/2016 10:14;24/02/2016 10:35;00:20:41
SRVMV-RCE001;Mar_S;SE27384;24/02/2016 10:09;24/02/2016 10:28;00:19:11
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;24/02/2016 10:07;24/02/2016 10:39;00:32:05
SRVMV-RCE001;Mar_S;SE27384;24/02/2016 10:04;24/02/2016 10:09;00:04:08
SRVMV-COMMUN001;Abbyy PDF Transformer +;HU30426;24/02/2016 09:58;24/02/2016 10:00;00:01:43
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;24/02/2016 09:25;24/02/2016 09:56;00:31:38
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;24/02/2016 09:20;24/02/2016 09:20;00:00:08
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;24/02/2016 09:18;24/02/2016 10:17;00:59:23
SRVMV-SOCIAL001;IODAS-Usager;XP18796;24/02/2016 08:52;24/02/2016 10:53;02:00:47
SRVMV-SOCIAL001;IODAS-Usager;XP18625;24/02/2016 08:43;24/02/2016 10:17;01:33:47
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;24/02/2016 08:35;24/02/2016 09:07;00:32:04
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;24/02/2016 08:35;24/02/2016 09:07;00:32:06
SRVMV-LSCE001;Gironde Archive En Ligne;WY26799;24/02/2016 08:35;24/02/2016 09:07;00:32:06
SRVMV-LSCE001;Gironde Archive En Ligne;WY26853;24/02/2016 08:35;24/02/2016 09:07;00:32:05
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;23/02/2016 17:10;23/02/2016 17:19;00:09:05
SRVMV-SOCIAL001;IODAS-Usager;SE27651;23/02/2016 17:08;23/02/2016 17:10;00:02:51
SRVMV-SOCIAL001;IODAS-Prestataire;SE27651;23/02/2016 17:07;23/02/2016 17:07;00:00:50
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/02/2016 17:04;23/02/2016 17:17;00:12:56
SRVMV-SOCIAL001;IODAS-Prestataire;SE27651;23/02/2016 16:56;23/02/2016 17:01;00:04:48
SRVMV-COMMUN001;Mozilla Firefox;SE27651;23/02/2016 16:16;23/02/2016 17:30;01:14:22
SRVMV-COMMUN001;PEPS33;XP18796;23/02/2016 15:59;23/02/2016 16:00;00:00:19
SRVMV-SOCIAL001;IODAS-Usager;XP18796;23/02/2016 15:37;23/02/2016 16:11;00:33:37
SRVMV-COMMUN001;Mozilla Firefox;SE27651;23/02/2016 15:08;23/02/2016 15:56;00:48:25
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;23/02/2016 14:54;23/02/2016 15:29;00:35:20
SRVMV-SOCIAL001;IODAS-Usager;XP18796;23/02/2016 14:43;23/02/2016 15:29;00:46:42
SRVMV-SOCIAL001;IODAS-Prestataire;SE27651;23/02/2016 14:36;23/02/2016 15:00;00:23:46
SRVMV-COMMUN001;Mozilla Firefox;SE27651;23/02/2016 14:29;23/02/2016 15:01;00:32:25
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;23/02/2016 14:23;23/02/2016 14:23;00:00:11
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/02/2016 14:22;23/02/2016 17:03;02:40:25
SRVMV-LSCE001;Gironde Archive En Ligne;WY26819;23/02/2016 14:19;23/02/2016 16:20;02:00:57
SRVMV-PDEP001;Abyla PROD;XP18718;23/02/2016 14:02;23/02/2016 14:24;00:22:04
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/02/2016 13:50;23/02/2016 14:22;00:32:05
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;23/02/2016 13:46;23/02/2016 14:35;00:49:03
SRVMV-SOCIAL001;IODAS-Usager;XP18796;23/02/2016 13:41;23/02/2016 14:35;00:53:17
SRVMV-COMMUN001;Mozilla Firefox;SE27651;23/02/2016 13:26;23/02/2016 14:14;00:47:52
SRVMV-LSCE001;Gironde Archive En Ligne;WY26875;23/02/2016 13:03;23/02/2016 13:05;00:02:18
SRVMV-SOCIAL001;IODAS-Prestataire;SE27651;23/02/2016 12:48;23/02/2016 13:57;01:08:47
SRVMV-SOCIAL001;IODAS-Usager;SE27651;23/02/2016 11:07;23/02/2016 11:13;00:05:41
SRVMV-SOCIAL001;IODAS-Prestataire;SE27651;23/02/2016 11:05;23/02/2016 11:37;00:31:39
SRVMV-SOCIAL001;IODAS-Usager;SE27651;23/02/2016 11:02;23/02/2016 11:04;00:01:24
SRVMV-SOCIAL001;IODAS-EVAPA;XP18796;23/02/2016 10:52;23/02/2016 10:52;00:00:04
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;23/02/2016 10:35;23/02/2016 12:32;01:57:17
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;23/02/2016 10:32;23/02/2016 12:03;01:31:22
SRVMV-COMMUN001;Mozilla Firefox;SE27651;23/02/2016 10:27;23/02/2016 11:47;01:19:30
SRVMV-SOCIAL001;IODAS-Prestataire;SE27651;23/02/2016 10:24;23/02/2016 11:02;00:38:28
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/02/2016 10:15;23/02/2016 12:03;01:48:20
SRVMV-W8NEOT001;Business Objects 6.5;SE18855;23/02/2016 10:11;23/02/2016 10:23;00:12:20
SRVMV-SOCIAL001;IODAS-Prestataire;XP18796;23/02/2016 10:03;23/02/2016 10:05;00:02:19
SRVMV-SOCIAL001;IODAS-Usager;XP18796;23/02/2016 09:56;23/02/2016 12:06;02:10:24
SRVMV-SOCIAL001;IODAS-Usager;SE27651;23/02/2016 09:54;23/02/2016 10:02;00:08:21
SRVMV-COMMUN001;Mozilla Firefox;XP28201;23/02/2016 09:47;23/02/2016 10:22;00:34:31
SRVMV-COMMUN001;Mozilla Firefox;SE27651;23/02/2016 09:38;23/02/2016 10:11;00:32:55
SRVMV-SOCIAL001;IODAS-Usager;XP28201;23/02/2016 09:32;23/02/2016 09:47;00:14:30
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;23/02/2016 09:08;23/02/2016 10:13;01:05:01
SRVMV-SOCIAL001;IODAS-Usager;XP18625;23/02/2016 09:07;23/02/2016 10:13;01:05:34
SRVMV-COMMUN001;GED Alfresco;SE29570;23/02/2016 09:01;23/02/2016 09:01;00:00:15
SRVMV-COMMUN001;Internet Explorer;SE29570;23/02/2016 08:44;23/02/2016 08:45;00:00:20
SRVMV-COMMUN001;GED Alfresco;SE29570;23/02/2016 08:44;23/02/2016 08:44;00:00:19
SRVMV-SOCIAL001;IODAS-Usager;XP18796;23/02/2016 08:43;23/02/2016 09:36;00:53:17
SRVMV-COMMUN001;GED Alfresco;SE29570;23/02/2016 08:42;23/02/2016 08:43;00:00:20
SRVMV-COMMUN001;GED Alfresco;SE29570;23/02/2016 08:41;23/02/2016 08:42;00:00:20
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/02/2016 16:53;22/02/2016 17:03;00:09:52
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;22/02/2016 16:48;22/02/2016 17:19;00:30:44
SRVMV-SOCIAL001;IODAS-Usager;XP18796;22/02/2016 16:25;22/02/2016 16:33;00:08:00
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/02/2016 16:24;22/02/2016 16:24;00:00:08
SRVMV-SOCIAL001;IODAS-Environnement;XP18625;22/02/2016 15:13;22/02/2016 16:24;01:11:21
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;22/02/2016 14:56;22/02/2016 15:04;00:08:42
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/02/2016 14:41;22/02/2016 16:22;01:40:52
SRVMV-COMMUN001;Mozilla Firefox;XP18796;22/02/2016 14:27;22/02/2016 14:28;00:00:47
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;22/02/2016 14:26;22/02/2016 14:29;00:03:20
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/02/2016 14:21;22/02/2016 14:29;00:08:03
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18625;22/02/2016 14:19;22/02/2016 14:29;00:10:04
SRVMV-COMMUN001;Mozilla Firefox;XP18796;22/02/2016 14:05;22/02/2016 14:06;00:01:04
SRVMV-SOCIAL001;IODAS-Prestataire;XP18625;22/02/2016 13:50;22/02/2016 14:11;00:20:36
SRVMV-SOCIAL001;IODAS-Usager;XP18796;22/02/2016 13:38;22/02/2016 15:05;01:27:02
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/02/2016 13:20;22/02/2016 14:11;00:51:02
SRVMV-SOCIAL001;IODAS-Finance_Paie;XP18796;22/02/2016 11:55;22/02/2016 12:35;00:39:34
SRVMV-RCE001;Mar_S;SE27384;22/02/2016 11:28;22/02/2016 11:39;00:10:58
SRVMV-SOCIAL001;IODAS-Usager;XP18796;22/02/2016 11:26;22/02/2016 12:54;01:28:41
SRVMV-SOCIAL001;IODAS-Usager;XP18625;22/02/2016 10:28;22/02/2016 10:42;00:14:26
SRVMV-COMMUN001;Internet Explorer;HTML5 Client;22/02/2016 10:17;22/02/2016 10:17;00:00:21
SRVMV-COMMUN001;AIP;HTML5 Client;22/02/2016 10:16;22/02/2016 10:16;00:00:21
SRVMV-RCE001;Gestor;HTML5 Client;22/02/2016 10:15;22/02/2016 10:17;00:01:07
SRVMV-RCE001;Mar_S;SE27384;22/02/2016 10:14;22/02/2016 10:16;00:01:53
SRVMV-COMMUN001;Internet Explorer;HTML5 Client;22/02/2016 10:11;22/02/2016 10:11;00:00:20
SRVMV-COMMUN001;WebMail Lotus;HTML5 Client;22/02/2016 10:10;22/02/2016 10:20;00:10:04
